timestamp,left_gaze_point_on_display_area,right_gaze_point_on_display_area,left_pupil_validity,right_pupil_validity
1698048216522,"(0.5721913065662786, 0.3165084352965365)","(nan, nan)",3,0
1698048216540,"(0.57410673892193, 0.31562456535020766)","(nan, nan)",3,0
1698048216557,"(0.5782474843091844, 0.3499880956518209)","(nan, nan)",3,0
1698048216571,"(0.58280655960511, 0.39870371109799474)","(nan, nan)",3,0
1698048216586,"(nan, nan)","(nan, nan)",0,0
1698048216604,"(0.5829113552016327, 0.4110840626227596)","(nan, nan)",3,0
1698048216621,"(0.590496330909857, 0.4025913192383244)","(nan, nan)",3,0
1698048216636,"(0.5897108702103112, 0.38301995737158756)","(nan, nan)",3,0
1698048216651,"(nan, nan)","(nan, nan)",0,0
1698048216669,"(0.5886975230904739, 0.3841806539037603)","(nan, nan)",3,0
1698048216683,"(0.5900465974058074, 0.3788740394738987)","(nan, nan)",3,0
1698048216701,"(0.5900533350983547, 0.39138308295663105)","(nan, nan)",3,0
1698048216716,"(0.5848047147264149, 0.41520590864341866)","(nan, nan)",3,0
1698048216734,"(0.5839995906171809, 0.42218212377497005)","(nan, nan)",3,0
1698048216749,"(0.5787574080648861, 0.40373442478343685)","(nan, nan)",3,0
1698048216766,"(0.5799348280134544, 0.4271508060849887)","(nan, nan)",3,0
1698048216783,"(0.5774529896545376, 0.4023934977873479)","(nan, nan)",3,0
1698048216800,"(0.5784399478806458, 0.40667674882963056)","(nan, nan)",3,0
1698048216815,"(0.5483487497447808, 0.32388708283381845)","(nan, nan)",3,0
1698048216832,"(0.5647756567227179, 0.3504926792280247)","(nan, nan)",3,0
1698048216847,"(0.5662480066425915, 0.3324029722538593)","(nan, nan)",3,0
1698048216865,"(0.5653923474637181, 0.34562306195039816)","(nan, nan)",3,0
1698048216880,"(0.5617399699203753, 0.3778272214369059)","(nan, nan)",3,0
1698048216897,"(0.5648238887081837, 0.3836621827061931)","(nan, nan)",3,0
1698048216911,"(0.5629750672073058, 0.3857221798750985)","(nan, nan)",3,0
1698048216929,"(0.5628810418892546, 0.3775257057464158)","(nan, nan)",3,0
1698048216947,"(0.5609774995674345, 0.3766174553092491)","(nan, nan)",3,0
1698048216962,"(0.5624150116858114, 0.3797421701160156)","(nan, nan)",3,0
1698048216977,"(0.5598724389798817, 0.40084610815365634)","(nan, nan)",3,0
